INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('1', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E74', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('79', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E188', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('80', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'E183', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('81', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E32', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('82', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E250', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('83', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E220', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('84', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'E219', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('85', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'E110', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('86', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'E72', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('87', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'E134', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('88', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'E42', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('89', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'E13', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('90', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E90', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('91', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E221', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('92', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E72', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('93', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E85', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('94', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E159', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('95', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E79', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('96', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'E219', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('97', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'E227', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('98', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E242', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('99', 'Yes', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E244', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('100', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'E10', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('101', 'No', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'E4', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('102', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'E94', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('103', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'E117', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('104', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'E236', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('105', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'E232', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('106', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E62', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('107', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E187', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('108', 'No', 'No', 'No', 'No', 'Yes', 'No', 'No', 'No', 'E6', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('109', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'E13', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('110', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E1', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('111', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'E215', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('112', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'Yes', 'No', 'E212', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('113', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E115', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('114', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'E203', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('115', 'No', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'E91', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('116', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'E132', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('117', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'E158', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('118', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'E242', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('119', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'E46', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('120', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E15', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('121', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'E145', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('122', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'E117', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('123', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'E191', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('124', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'E7', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('125', 'No', 'No', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'E180', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('126', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'E157', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('127', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E244', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('128', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E237', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('129', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'E224', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('130', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'Yes', 'E103', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('131', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'No', 'E41', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('132', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'E83', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('133', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'E7', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('134', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E201', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('135', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E160', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('136', 'No', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'E138', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('137', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'E221', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('138', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E234', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('139', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E60', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('140', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E189', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('141', 'No', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'E189', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('142', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'E2', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('143', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E188', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('144', 'No', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'E57', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('145', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E219', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('146', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E228', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('147', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E112', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('148', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'E47', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('149', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E133', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('150', 'No', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'No', 'E64', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('151', 'Yes', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E226', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('152', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'E11', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('153', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'E234', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('154', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'No', 'E189', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('155', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'E114', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('156', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E70', '2020');
